,REP,Nitro,Weed,HYB,Code,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
278,1,N1,WMINUS,PHHB9*PHM49,UIUC1,1.91,1.706666667,68.7325,-1.3525,96.33333333,205,70,20.186,18.842,6.14163568,22.3,54.6,114.0145653,7.1,3.6,73
279,1,N1,WMINUS,PHHB9*PHW30,UIUC3,1.88,1.741666667,76.9875,0.246666667,118.3333333,235,92,22.402,19.888,6.15070752,17.3,57,116.4135783,7.3,3.7,72.6
280,1,N1,WMINUS,PHW52*Q381,UIUC8,1.91,1.706666667,71.80916667,-0.618333333,91.33333333,198,63,19.024,17.1798,2.87577328,16.9,54.4,57.30660459,8.2,4,71.7
282,1,N3,WMINUS,PHP38*Q381,UIUC6,1.886666667,1.7175,70.3525,0.0375,102.25,210,89,20.406,18.432,5.4884632,17.1,50,118.7088757,9.4,4,70.6
283,1,N3,WMINUS,PHHB9*PHW30,UIUC3,1.89,1.758333333,85.84416667,1.638333333,116.8333333,245,90,22.658,20.506,7.46612432,18,53,150.6888467,8.2,3.7,71.7
284,1,N3,WMINUS,PHW52*Q381,UIUC8,1.893333333,1.716666667,72.88416667,-1.065833333,90.66666667,215,72,19.884,18.242,4.1503668,18.1,53.3,83.19382306,9.6,4.2,70.5
285,1,N3,WMINUS,PHHB9*PHM49,UIUC1,1.876666667,1.73,85.97166667,0.164166667,111.4166667,215,79,22.754,20.99,8.88586728,21.2,57.8,158.0323908,8.6,3.7,71.9
286,1,N3,WMINUS,PHHB9*PHR63,UIUC2,1.923333333,1.754166667,107.1233333,0.746666667,138.4166667,227,91,23.802,21.158,7.90610856,21,51.5,158.2087666,8.6,3.8,71.5
287,1,N3,WMINUS,17.461,ORG1,1.92,1.75,81.07083333,-0.349166667,107.25,224,105,20.782,18.732,7.13046624,17.3,52.3,147.0854311,9.2,4.7,69.6
288,1,N3,WMINUS,PHW52*LH185,UIUC7,1.916666667,1.700833333,76.4975,-2.920833333,87.5,228,85,20.132,18.238,6.13256384,18.7,55.3,117.6130199,7.6,3.7,72.4
289,1,N3,WMINUS,PHHB9*PHZ51,UIUC4,1.87,1.745,98.21125,2.44,130.25,247,96,22.502,20.786,6.5317248,17,56.5,125.1714929,8,3.8,72.3
290,1,N3,WMINUS,461.2B24,ORG2,1.886666667,1.7325,95.8475,2.271666667,124.4166667,225,96,21.27,19.264,4.65838984,19.4,55.9,87.62075134,10.7,4.5,68.6
291,1,N3,WPLUS,PHHB9*Q381,UIUC5,1.906666667,1.713333333,66.50583333,-1.020833333,83.41666667,206,76,16.502,15.612,4.20933376,20.4,54.3,80.49603888,10.5,4,69.8
292,1,N3,WPLUS,PHP38*Q381,UIUC6,1.88,1.709166667,84.5375,0.6575,101.5,201,90,24.592,22.464,4.5812792,17.2,53.4,92.66671099,9.7,4,70.3
293,1,N3,WPLUS,PHHB9*PHW30,UIUC3,1.87,1.704166667,79.13083333,1.475,113.6666667,246,88,22.708,20.54,8.06032984,19,55.4,153.7361417,8.7,3.5,71.8
294,1,N3,WPLUS,PHW52*Q381,UIUC8,1.893333333,1.7425,68.68833333,-0.688333333,96,220,77,21.546,18.778,4.71282088,18.1,55,91.54825175,9.1,4,70.9
295,1,N3,WPLUS,PHHB9*PHM49,UIUC1,1.873333333,1.674166667,89.19583333,1.119166667,112.1666667,225,85,23.032,21.47,9.412034,21.3,57.5,168.04991,8.4,3.5,72.2
296,1,N3,WPLUS,PHHB9*PHR63,UIUC2,1.91,1.753333333,59.83083333,-1.673333333,159.3333333,217,95,22.952,20.344,8.69535864,22.2,55.7,158.4381673,8.8,3.7,71.5
297,1,N3,WPLUS,17.461,ORG1,1.926666667,1.7275,81.58333333,-0.519166667,99.5,210,89,21.758,19.704,6.84016736,16.4,54.2,137.6326994,9.5,4.9,69
