"","Code","EFFECTS","EHT","FDS","FDT","PHT","RTA","GWT","MST","TWT","YIELD","PROT","SDL","STR","SDS","OIL","RLA"
"43","UIUC4","N1WMINUS",104.572760816667,1.77568696266667,1.878216291,247.6836353,87.1704596766667,7.72048687033333,20.21871711,56.5451266266667,142.1207064,8.332157896,22.4937355566667,72.40305,20.6300323533333,3.783758782,19.197525515
"44","UIUC4","N1WPLUS",103.820648216667,1.786769098,1.88080115066667,252.207652733333,86.5927734666667,7.50865408566667,20.9786075366667,56.4516201833333,136.380772666667,8.57992628533333,22.0999644433333,72.4013389433333,20.22007532,3.784034679,18.8868333486667
"45","UIUC4","N2WMINUS",115.854450306667,1.776237628,1.86206091966667,260.6207378,88.2234792,8.25102453633333,19.6675204866667,57.3610419233333,152.047135033333,8.24479640033333,22.9563753533333,72.4051482566667,21.11158896,3.745936127,20.1010449256667
"46","UIUC4","N2WPLUS",115.553605266667,1.780642949,1.86873847333333,261.4144251,89.0118420633333,7.71325318333333,19.6675204866667,57.4808262,140.5754464,8.360802899,22.1428812733333,72.4037033466667,20.3116675166667,3.76834703966667,19.2659649356667
"47","UIUC4","N3WMINUS",113.14684484,1.77699479233333,1.847844193,264.509805433333,94.0368937633333,8.94138851133333,20.49322405,58.2818835766667,160.953084766667,8.605705507,23.15546177,72.4025868233333,21.2715299033333,3.77507031366667,16.8074729976667
"48","UIUC4","N3WPLUS",120.893604966667,1.78222611133333,1.865938209,268.319504366667,88.39869452,8.82509545566667,20.55045103,57.4808262,160.3127104,8.65081914566667,22.89438437,72.4027181766667,21.01037972,3.75265940066667,17.7536307623333
"49","UIUC5","N1WMINUS",88.21431108,1.740650895,1.8830629025,208.51516845,80.59350518,5.8740601275,16.792166055,56.893607365,109.165565135,8.5362687775,21.714905075,72.401275305,19.43475553,3.797945624,0.731386122
"50","UIUC5","N1WPLUS",81.783748075,1.7313584205,1.8930792325,206.25315975,68.62876295,5.4414270565,16.085538815,56.915916855,100.682821185,8.7828428205,22.25631743,72.39989383,20.04656215,3.809312809,0.116046508
"51","UIUC5","N2WMINUS",93.96797274,1.7417866415,1.895017877,222.56343315,77.040189415,7.3270661305,16.88383668,56.601160395,139.6507407,8.6798207705,22.181075425,72.401076235,20.004301335,3.758262129,0.499698284
"52","UIUC5","N2WPLUS",90.58346587,1.736572531,1.8824166875,223.634911,75.505441425,6.5829250205,17.08004347,58.162099295,120.273939555,8.660486354,22.21642679,72.4002881,19.942698065,3.7717086765,0.4751678535
"53","UIUC5","N3WMINUS",91.147550345,1.743438637,1.8820935805,220.06331825,75.141917365,6.6353577275,16.614052345,57.510772275,124.15675655,9.1309256255,22.337061605,72.396345,20.22194455,3.8126036855,0.5291140125
"54","UIUC5","N3WPLUS",92.38853619,1.742612639,1.888232621,220.3014244,78.783159045,6.642920137,17.006465925,56.98297279,124.8094931,9.076176307,21.590693855,72.395559305,19.54365841,3.7986017725,0.8822066935
"55","UIUC6","N1WMINUS",96.60036692,1.805044297,1.89297153,222.761854966667,80.9797305466667,6.81551113066667,18.9072191833333,58.17707233,124.5781563,8.55414706333333,22.3552645766667,72.8177360266667,20.1729653433333,3.84902632633333,19.1719564683333
"56","UIUC6","N1WPLUS",98.6310710433333,1.806868375,1.90363407533333,222.603117533333,80.2737470733333,6.299922846,19.3650350233333,57.5931239666667,114.8078558,8.386582121,22.3527886066667,72.3996313266667,20.2585705933333,3.862472874,19.6793158253333
